1;LaLiga
2;Serie A
3;Premier League
4;Ligue 1
5;LaLiga2
6; Brazil
7; Argentina
8;Serie B
9;1.Bundesliga
10;Premier Liga
11;Liga NOS
12; Czech Republic
13; Serbia
14;Eredivisie
15; England
16; Scotland
17;Süper Lig
18;Eliteserien
19; Croatia
20;Super League
21; Mexico
22; Chile
23;Ligue 2
24; Uruguay
25; Bulgaria
26; Korea  South
27;Ekstraklasa
28; Sweden
29; Latvia
30;2.Bundesliga
31;J1 - 2nd Stage
32; Finland
33; Denmark
34;Jupiler Pro League
35; Saudi Arabia
36; Australia
37;First Division
38; Portugal
39; Slovakia
40; Romania
41;Vysheyshaya Liga
42; China
43;1.Liga gr. 1
44; Iran
45;Bundesliga
46; Venezuela
47;Primera Div. Apertura
48;Second Division (bis 03/04)
49; France
50;Auf-/Abstiegsrunde NLA/NLB
51;U19 Eredivisie
52;1.Lig
53; United States
54;Challenge League
55;Premiership
56;Ligat ha'Al
57;K League 1
58;HET Liga
59;MLS
60; Spain
61; Tunisia
62; South Africa
63;Virsliga
64;Serie C - A
65;Regionalliga Nord
66; Colombia
67; Russia
68; Moldova
69;Championship
70;Série A
71;Superligaen
72;J1 League
73; Peru
74; Paraguay
75;NB I.
76; Ukraine
77; Korea South
78;Torneo Final
79;Allsvenskan
80;SuperLiga
81; Qatar
82;1.HNL
83;OBOS-ligaen
84;2ª B - Grupo III
85;Liga MX Clausura
86;Liga 1
87;League One
88;Superettan
89; Ghana
90;Serie C - B
91;Série B
92; Ecuador
93;J2 League
94; United Arab Emirates
95;Primera División
96;Primera B Nacional
97;Primavera B
98;2ª B - Grupo I
99;3.Liga
100;Liga Águila II
101;Segunda División
102;Professional League
103;Stars League
104;Ligue I Pro
105;Championnat National
106;Korean FA Cup
107;UAE Gulf League
108;Torneo Inicial
109;Serie A Segunda Etapa
110;1.Division
111;Rel. Ligue 1
112;Liga 1 - Championship group
113;U18 Premier League
114;Superligaen Championship round
115;A Grupa - Championship gr.
116;Liga MX Apertura
117; Canada
118;Proximus League
119;Botola Pro
120; Wales
121; Belgium
122; Libya
123; Israel
124;Segunda División - Segunda Fase
125;Ledman Liga Pro
