138;Rigobert Song;Centre-Back;24
139;José Francisco Molina;Goalkeeper;29
140;Jörg Heinrich;Left Midfield;30
141;Adrian Mutu;Centre-Forward;21
142;Fernando Meira;Centre-Back;22
143;Gianni Guigou;Defensive Midfield;25
144;Richard Dutruel;Goalkeeper;27
145;Pascal Nouma;Centre-Forward;28
146;Craig Hignett;Right Winger;30
147;Zoran Mirkovic;Right-Back;28
148;Charles Amoah;Centre-Forward;25
149;Niclas Alexandersson;Right Midfield;28
150;Darren Huckerby;Right Winger;24
151;David Hopkin;Right Midfield;29
152;Alf-Inge Haland;Defensive Midfield;27
153;Lomana LuaLua;Second Striker;19
154;Steve Watson;Right Midfield;26
155;Lee Carsley;Defensive Midfield;26
156;Don Hutchison;Attacking Midfield;29
157;Didier Deschamps;Defensive Midfield;31
158;Santiago Solari;Left Midfield;23
159;Thomas Gravesen;Defensive Midfield;24
160;Jeong-hwan Ahn;Centre-Forward;23
161;Vasilios Tsiartas;Attacking Midfield;27
162;Stephen Hughes;Defensive Midfield;23
163;Marc Wilmots;Attacking Midfield;31
164;Alen Boksic;Centre-Forward;30
165;Geoff Horsfield;Centre-Forward;26
166;Louis Saha;Centre-Forward;21
167;Marcus Bent;Centre-Forward;22
168;Vratislav Lokvenc;Centre-Forward;26
169;Aleksey Smertin;Defensive Midfield;25
170;Stjepan Tomas;Centre-Back;24
171;Jason Roberts;Centre-Forward;22
172;Emmanuel Olisadebe;Centre-Forward;22
173;Danny Higginbotham;Centre-Back;21
174;Andrew O'Brien;Centre-Back;21
175;Antonio Pacheco;Second Striker;24
176;Noel Whelan;Centre-Forward;25
177;Changui;Centre-Forward;23
178;Shaun Bartlett;Centre-Forward;28
179;Dmitri Alenichev;Central Midfield;27
180;Andrejs Stolcers;Attacking Midfield;26
181;Oktay Derelioglu;Centre-Forward;24
182;Bjørn Otto Bragstad;Centre-Back;29
183;Kenny Miller;Centre-Forward;20
184;Johan Elmander;Centre-Forward;19
185;Milan Fukal;Centre-Back;25
186;Andrejs Rubins;Left Winger;21
187;Marcel Ketelaer;Left Midfield;22
188;John Collins;Left Midfield;32
189;Didier Martel;Forward;28
190;Bernard Mendy;Right-Back;18
191;Danijel Ljuboja;Centre-Forward;21
192;Tomás Galásek;Defensive Midfield;27
193;Yoshikatsu Kawaguchi;Goalkeeper;26
194;Gabriel Schürrer;Centre-Back;28
195;Henning Berg;Right-Back;30
196;Gary Naysmith;Left-Back;21
197;Petri Pasanen;Centre-Back;19
198;Christian Dailly;Centre-Back;27
199;Jesper Christiansen;Goalkeeper;22
200;Nikola Lazetic;Right Winger;22
201;Tim Cornelisse;Right-Back;22
202;Abdelilah Saber;Right-Back;26
203;Callum Davidson;Left-Back;24
204;Fazli Ulusal;Centre-Forward;26
205;Ole Martin Arst;Centre-Forward;25
206;Feliciano Magro;Attacking Midfield;21
207;Jean-François Gillet;Goalkeeper;21
208;Dimitar Berbatov;Centre-Forward;19
209;Cédric Roussel;Centre-Forward;23
210;Per Frandsen;Right Midfield;30
211;Luciano;Right Midfield;24
212;Edgaras Jankauskas;Centre-Forward;25
213;Alan Mahon;Left Midfield;22
214;Gustavo Nery;Left-Back;22
215;Ciriaco Sforza;Central Midfield;30
216;David Hopkin;Right Midfield;30
217;Paul Robinson;Centre-Forward;21
218;Karel Poborsky;Right Midfield;28
219;Rab Douglas;Goalkeeper;28
220;Erman Güracar;Centre-Back;25
221;Trevor Benjamin;Centre-Forward;21
222;John Curtis;Right-Back;21
223;Peter Lövenkrands;Centre-Forward;20
224;Ivica Dragutinovic;Centre-Back;24
225;Francesc Arnau;Goalkeeper;25
226;Bernt Haas;Right-Back;22
227;Pascal Ojigwe;Defensive Midfield;23
228;Chris Makin;Left-Back;27
229;Frank Verlaat;Centre-Back;32
230;Ashley Ward;Centre-Forward;29
231;David Healy;Centre-Forward;21
232;Georgi Peev;Right Midfield;21
233;Hervé Tum;Centre-Forward;21
234;Goran Gavrancic;Centre-Back;22
235;Elvir Bolic;Centre-Forward;28
236;Aleksandr Panov;Centre-Forward;24
237;Marzouq Al-Otaibi;Centre-Forward;0
238;Espen Baardsen;Goalkeeper;22
239;Slavisa Jokanovic;Defensive Midfield;32
240;José Amavisca;Left Midfield;29
241;Ivica Banovic;Defensive Midfield;19
242;Tommy Berntsen;Centre-Back;27
243;Patricio Camps;Forward;28
244;Brett Emerton;Right Midfield;21
245;Sergej Barbarez;Second Striker;28
246;Radek Bejbl;Defensive Midfield;27
247;Robin Nelisse;Centre-Forward;22
248;Yago Yao;Centre-Back;21
249;Zinédine Zidane;Attacking Midfield;29
250;Gianluigi Buffon;Goalkeeper;23
251;Gaizka Mendieta;Right Midfield;27
252;Juan Sebastián Verón;Central Midfield;26
